sector,price,price_per_sqft,built_up_area,bedRoom,bathroom,property_type,latitude,longitude
sector 102,2.0,17730.0,1456.0,3.0,3.0,flat,28.475,76.9715
sohna road,0.85,7589.0,1120.0,3.0,2.0,house,,
sector 12,6.0,14493.0,9000.0,9.0,9.0,house,28.4723,77.032
sector 14,6.5,20635.0,3150.0,4.0,4.0,house,28.4711,77.0454
sector 92,1.18,5207.0,2518.0,4.0,4.0,flat,28.4079,76.9153
sector 106,1.15,7419.0,1650.0,3.0,3.0,flat,28.5007,77.0003
sector 9,1.2,6667.0,2000.0,4.0,3.0,flat,28.4603,77.0
sohna road,0.28,5983.0,520.0,2.0,2.0,flat,,
sector 23,2.7,18621.0,1450.0,5.0,5.0,house,28.5121,77.0478
sector 74,2.7,13380.0,2018.0,3.0,3.0,flat,28.4158,77.0118
sector 92,0.7,4453.0,1572.0,3.0,3.0,flat,28.4079,76.9153
sector 6,1.0,4630.0,240.0,6.0,4.0,house,28.4745,77.0262
sector 53,4.0,17778.0,2250.0,5.0,5.0,house,28.4433,77.0948
sector 3,0.75,6410.0,1170.0,4.0,2.0,house,28.4909,77.0176
sohna road,0.28,4938.0,500.0,2.0,2.0,flat,,
sector 28,4.5,13889.0,3240.0,4.0,4.0,house,28.4728,77.0865
sector 104,0.85,6894.0,1611.0,2.0,2.0,flat,28.4788,76.996
sector 72,3.09,6981.0,3653.0,5.0,5.0,house,28.4225,77.0211
sector 99,0.35,6422.0,606.0,2.0,2.0,flat,28.464,76.9614
sector 66,3.0,10854.0,2700.0,4.0,4.0,flat,28.3925,77.0541
sector 47,1.05,10532.0,1108.0,2.0,2.0,flat,28.4276,77.0492
sector 50,7.1,31430.0,2259.0,3.0,3.0,house,28.4178,77.0628
sector 38,4.3,28782.0,1494.0,3.0,9.0,house,28.4347,77.043
sector 37d,0.71,5420.0,1100.0,2.0,2.0,flat,28.4478,76.9703
sector 109,1.6,6287.0,2303.0,3.0,3.0,flat,28.5073,77.0089
sector 77,1.75,11667.0,1900.0,3.0,3.0,flat,28.3801,76.9845
sector 43,2.5,12920.0,195.0,3.0,3.0,flat,28.4629,77.0772
