price,area,locality,property_type,bedroom_num,latitude,longitude
0.9,995,Mira Road,Apartment,2,19.2723217,72.87452698
1.21,1030,Mira Road,Apartment,2,19.29805374,72.87605286
0.57,850,Mumbra,Apartment,2,19.16921806,73.03074646
0.69,1050,Mumbra,Apartment,2,19.16921806,73.03074646
2.95,772,Chembur,Apartment,2,19.05181313,72.90020752
1.27,420,Jogeshwari,Apartment,1,19.14257622,72.84370422
1.65,665,Dahisar,Apartment,2,19.25813293,72.84890747
3.25,720,Worli,Apartment,2,18.99811935,72.81504822
16.88,1875,Lower Parel,Apartment,4,19.00762367,72.83289337
2.8,1149,Borivali,Apartment,3,19.2169342,72.86742401
1.05,551,Borivali,Apartment,1,19.2169342,72.86742401
1.4,673,Borivali,Apartment,2,19.2169342,72.86742401
1.35,673,Borivali,Apartment,2,19.2169342,72.86742401
1.1,550,Borivali,Apartment,1,19.2169342,72.86742401
1.38,676,Borivali,Apartment,2,19.2169342,72.86742401
1.4,673,Borivali,Apartment,2,19.2169342,72.86742401
1.35,673,Borivali,Apartment,2,19.2169342,72.86742401
1.1,550,Borivali,Apartment,1,19.2169342,72.86742401
1.38,676,Borivali,Apartment,2,19.2169342,72.86742401
1.13,551,Borivali,Apartment,1,19.2169342,72.86742401
2.8,1149,Borivali,Apartment,3,19.2169342,72.86742401
4.7,1221,Chembur,Apartment,3,19.05181313,72.90020752
1.45,718,Borivali,Apartment,2,19.22400856,72.86885071
1.05,534,Borivali,Apartment,1,19.22455025,72.86902618
0.72,600,Bhayandar,Apartment,1,19.31095886,72.85369873
1.9,724,Borivali,Apartment,2,19.22264481,72.86534882
2.0,750,Borivali,Apartment,2,19.22264481,72.86534882
1.95,732,Borivali,Apartment,2,19.22264481,72.86534882
1.82,822,Borivali,Apartment,2,19.21585846,72.86445618
2.5,914,Borivali,Apartment,2,19.21585846,72.86445618
2.58,1048,Borivali,Apartment,3,19.21585846,72.86445618
2.94,1105,Borivali,Apartment,3,19.22673035,72.85987854
3.0,1296,Borivali,Apartment,3,19.22673035,72.85987854
0.78,440,Malad,Apartment,1,19.19013023,72.85076904
0.75,440,Malad,Apartment,1,19.18992043,72.85050964
0.77,440,Malad,Apartment,1,19.1878376,72.86705017
1.03,507,Borivali,Apartment,1,19.22890663,72.86195374
1.66,705,Borivali,Apartment,2,19.22890663,72.86195374
1.85,812,Malad,Apartment,2,19.19087029,72.86130524
0.91,481,Borivali,Apartment,1,19.22286224,72.85883331
0.69,715,Mira Road,Apartment,1,19.28604317,72.87023163
0.89,520,Kandivali,Apartment,1,19.21466827,72.82371521
2.0,728,Goregaon,Apartment,2,19.16010094,72.84772491
3.0,1015,Goregaon,Apartment,3,19.16010094,72.84772491
1.24,850,Kalwa,Apartment,2,19.2050457,72.99949646
0.68,680,Kalwa,Apartment,1,19.2050457,72.99949646
1.36,1098,Kalwa,Apartment,2,19.20948792,73.01093292
0.62,650,Kalwa,Apartment,1,19.2050457,72.99949646
0.85,930,Kalwa,Apartment,2,19.20948792,73.01093292
1.07,845,Thane,Apartment,2,19.22933769,72.96694946
1.66,1175,Thane,Apartment,3,19.20920753,72.94970703
1.3,1250,Kalwa,Apartment,3,19.20948792,73.01093292
0.91,900,Mira Road,Apartment,2,19.27293587,72.88097382
1.11,499,Andheri,Apartment,1,19.11890793,72.86488342
0.77,675,Mira Road,Apartment,1,19.27293587,72.88097382
1.27,420,Jogeshwari,Apartment,1,19.14257622,72.84370422
1.65,665,Dahisar,Apartment,2,19.25813293,72.84890747
3.25,720,Worli,Apartment,2,18.99811935,72.81504822
16.88,1875,Lower Parel,Apartment,4,19.00762367,72.83289337
2.8,1149,Borivali,Apartment,3,19.2169342,72.86742401
1.05,551,Borivali,Apartment,1,19.2169342,72.86742401
1.4,673,Borivali,Apartment,2,19.2169342,72.86742401
1.35,673,Borivali,Apartment,2,19.2169342,72.86742401
1.1,550,Borivali,Apartment,1,19.2169342,72.86742401
1.38,676,Borivali,Apartment,2,19.2169342,72.86742401
1.13,551,Borivali,Apartment,1,19.2169342,72.86742401
2.8,1149,Borivali,Apartment,3,19.2169342,72.86742401
4.7,1221,Chembur,Apartment,3,19.05181313,72.90020752
1.45,718,Borivali,Apartment,2,19.22400856,72.86885071
1.05,534,Borivali,Apartment,1,19.22455025,72.86902618
0.72,600,Bhayandar,Apartment,1,19.31095886,72.85369873
1.9,724,Borivali,Apartment,2,19.22264481,72.86534882
2.0,750,Borivali,Apartment,2,19.22264481,72.86534882
1.95,732,Borivali,Apartment,2,19.22264481,72.86534882
1.82,822,Borivali,Apartment,2,19.21585846,72.86445618
2.94,1105,Borivali,Apartment,3,19.22673035,72.85987854
3.0,1296,Borivali,Apartment,3,19.22673035,72.85987854
0.78,440,Malad,Apartment,1,19.19013023,72.85076904
0.75,440,Malad,Apartment,1,19.18992043,72.85050964
0.8,503,Kandivali,Apartment,1,19.20811272,72.83140564
0.9,507,Kandivali,Apartment,1,19.20026207,72.86649323
0.59,352,Malad,Apartment,1,19.18710709,72.85057068
0.61,398,Malad,Apartment,1,19.18710709,72.85057068
